Category,Titles,Chapters,Sections,Sub-sections,Sub-sub-sections,Details,Notes,URL
Get started,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/release_notes"",""Release notes"")",,,,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/release_notes"",""Highlights of what is new and what has changed with this OpenShift GitOps release"")",,,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/release_notes"",""Chapter 1. Red Hat OpenShift GitOps release notes"")",,,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/release_notes"",""1.1. Compatibility and support matrix"")",,,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/release_notes"",""1.1.1. Technology Preview features"")",,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/release_notes"",""1.2. Release notes for Red Hat OpenShift GitOps 1.19.3"")",,,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/release_notes"",""1.2.1. Errata updates"")",,,,
,,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/release_notes"",""1.2.1.1. RHSA-2026:9698 - Red Hat OpenShift GitOps 1.19.3 security update advisory"")",,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/release_notes"",""1.2.2. Fixed issues"")",,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/release_notes"",""1.3. Release notes for Red Hat OpenShift GitOps 1.19.2"")",,,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/release_notes"",""1.3.1. Errata updates"")",,,,
,,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/release_notes"",""1.3.1.1. RHSA-2026:3884 - Red Hat OpenShift GitOps 1.19.2 security update advisory"")",,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/release_notes"",""1.3.2. Fixed issues"")",,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/release_notes"",""1.4. Release notes for Red Hat OpenShift GitOps 1.19.1"")",,,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/release_notes"",""1.4.1. Errata updates"")",,,,
,,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/release_notes"",""1.4.1.1. RHSA-2026:1488 - Red Hat OpenShift GitOps 1.19.1 security update advisory"")",,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/release_notes"",""1.4.2. Fixed issues"")",,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/release_notes"",""1.5. Release notes for Red Hat OpenShift GitOps 1.19.0"")",,,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/release_notes"",""1.5.1. Errata updates"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/release_notes"",""1.5.2. New features"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/release_notes"",""1.5.3. Known issues"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/release_notes"",""1.5.4. Breaking changes"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/release_notes"",""1.5.5. Deprecated and removed features"")",,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/release_notes"",""1.6. Additional resources"")",,,,,
,,,,,,,,
,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/understanding_openshift_gitops"",""Understanding OpenShift GitOps"")",,,,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/understanding_openshift_gitops"",""Introduction to OpenShift GitOps"")",,,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/understanding_openshift_gitops"",""Chapter 1. What is GitOps?"")",,,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/understanding_openshift_gitops"",""Chapter 2. About Red Hat OpenShift GitOps"")",,,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/understanding_openshift_gitops"",""2.1. Key features"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/understanding_openshift_gitops"",""2.2. Glossary of common terms for OpenShift GitOps"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/understanding_openshift_gitops"",""2.3. Additional resources"")",,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/understanding_openshift_gitops"",""Chapter 3. Gathering diagnostic information for support"")",,,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/understanding_openshift_gitops"",""3.1. About the must-gather tool"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/understanding_openshift_gitops"",""3.2. Collecting debugging data for Red Hat OpenShift GitOps"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/understanding_openshift_gitops"",""3.3. Additional resources"")",,,,,
,,,,,,,,
,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/managing_cluster_configuration"",""Managing cluster configuration"")",,,,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/managing_cluster_configuration"",""Managing OpenShift Container Platform cluster configuration"")",,,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/managing_cluster_configuration"",""Chapter 1. Managing OpenShift Container Platform cluster configuration"")",,,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/managing_cluster_configuration"",""1.1. Installing Red Hat OpenShift GitOps Operator using CLI"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/managing_cluster_configuration"",""1.2. Analyzing the default Argo CD instance details"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/managing_cluster_configuration"",""1.3. Access the default Argo CD instance"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/managing_cluster_configuration"",""1.4. Configuring the default Argo CD instance"")",,,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/managing_cluster_configuration"",""1.4.1. Configuring RBAC"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/managing_cluster_configuration"",""1.4.2. Configuring permissions"")",,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/managing_cluster_configuration"",""1.5. Additional resources"")",,,,,
,,,,,,,,
Install,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/installing_gitops"",""Installing GitOps"")",,,,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/installing_gitops"",""Installing the OpenShift GitOps Operator, logging in to the Argo CD instance, and installing the GitOps CLI"")",,,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/installing_gitops"",""Chapter 1. Preparing to install Red Hat OpenShift GitOps"")",,,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/installing_gitops"",""1.1. Sizing requirements for GitOps"")",,,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/installing_gitops"",""1.1.1. Sizing requirements for argocd-redis"")",,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/installing_gitops"",""Chapter 2. Installing Red Hat OpenShift GitOps"")",,,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/installing_gitops"",""2.1. Prerequisites"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/installing_gitops"",""2.2. Installing Red Hat OpenShift GitOps Operator in web console"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/installing_gitops"",""2.3. Installing Red Hat OpenShift GitOps Operator using CLI"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/installing_gitops"",""2.4. Logging in to the Argo CD instance by using the Argo CD admin account"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/installing_gitops"",""2.5. Additional resources"")",,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/installing_gitops"",""Chapter 3. Installing the GitOps CLI"")",,,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/installing_gitops"",""3.1. Installing the Red Hat OpenShift GitOps CLI on Linux"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/installing_gitops"",""3.2. Installing the Red Hat OpenShift GitOps CLI on Linux using an RPM"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/installing_gitops"",""3.3. Installing the Red Hat OpenShift GitOps CLI on Windows"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/installing_gitops"",""3.4. Installing the Red Hat OpenShift GitOps CLI on macOS"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/installing_gitops"",""3.5. Additional resources"")",,,,,
,,,,,,,,
,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/removing_gitops"",""Removing GitOps"")",,,,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/removing_gitops"",""Removing OpenShift GitOps Operator from your cluster"")",,,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/removing_gitops"",""Chapter 1. Uninstalling Red Hat OpenShift GitOps"")",,,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/removing_gitops"",""1.1. Deleting the Argo CD instances"")",,,,,
,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/removing_gitops"",""1.2. Uninstalling the GitOps Operator"")",,,,,
,,,,,,,,
Set up,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_cd_instance"",""Argo CD instance"")",,,,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_cd_instance"",""Installing and deploying Argo CD instances, enabling notifications with an Argo CD instance, and configuring the NotificationsConfiguration CR"")",,,,,,
,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.19/html-single/argo_cd_instance"",""Chapter 1. Setting up an Argo CD instance"")",,,,,,
